name,group,eligible,oos_trades,oos_pf,oos_avg_r,oos_net_r,oos_trades_delta,oos_net_r_delta,is_trades,is_pf,is_avg_r,is_net_r,is_trades_delta,is_net_r_delta,patch
sweep_cdd_max_5,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,934,1.722,0.109,102.087,-21,-0.846,"{""param_overrides.pb_cdd_max"": 5}"
sweep_max_positions_8,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,948,1.703,0.108,101.935,-7,-0.998,"{""param_overrides.pb_max_positions"": 8}"
prefix_05_p3_sector_cap_4,accepted_prefix,False,12,0.449,-0.144,-1.725,0,0.000,956,1.685,0.106,101.505,1,-1.428,"{""max_per_sector"": 4}"
prefix_06_p1_cdd_max_6,accepted_prefix,False,12,0.449,-0.144,-1.725,0,0.000,956,1.685,0.106,101.505,1,-1.428,"{""param_overrides.pb_cdd_max"": 6}"
sweep_sma_max_20p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,950,1.696,0.107,101.417,-5,-1.515,"{""param_overrides.pb_v2_sma_dist_max_pct"": 20.0}"
sweep_gap_max_3p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,972,1.675,0.104,101.141,17,-1.792,"{""param_overrides.pb_v2_gap_max_pct"": 3.0}"
rollback_stale_6_005,accepted_rollback,False,12,0.449,-0.144,-1.725,0,0.000,955,1.682,0.106,101.019,0,-1.914,"{""param_overrides.pb_v2_stale_bars"": 6, ""param_overrides.pb_v2_stale_mfe_thresh"": 0.05}"
sweep_stale_6_0p1,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,954,1.677,0.105,100.379,-1,-2.554,"{""param_overrides.pb_v2_stale_bars"": 6, ""param_overrides.pb_v2_stale_mfe_thresh"": 0.1}"
sweep_gap_max_2p5,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,967,1.670,0.104,100.302,12,-2.631,"{""param_overrides.pb_v2_gap_max_pct"": 2.5}"
sweep_sector_cap_3,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,916,1.715,0.109,99.749,-39,-3.183,"{""max_per_sector"": 3}"
sweep_max_positions_6,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,916,1.700,0.107,98.054,-39,-4.878,"{""param_overrides.pb_max_positions"": 6}"
sweep_flatten_loss_neg0p35,single_perturbation,False,12,0.443,-0.147,-1.768,0,-0.043,954,1.689,0.106,101.348,-1,-1.584,"{""param_overrides.pb_v2_flatten_loss_r"": -0.35}"
sweep_flatten_loss_neg0p25,single_perturbation,False,12,0.443,-0.147,-1.768,0,-0.043,955,1.674,0.105,100.007,0,-2.925,"{""param_overrides.pb_v2_flatten_loss_r"": -0.25}"
sweep_rank_pct_max_50p0,single_perturbation,False,11,0.424,-0.164,-1.803,-1,-0.078,873,1.669,0.104,90.569,-82,-12.364,"{""param_overrides.pb_entry_rank_pct_max"": 50.0}"
sweep_rank_pct_max_90p0,single_perturbation,False,11,0.408,-0.168,-1.853,-1,-0.128,907,1.676,0.104,94.555,-48,-8.377,"{""param_overrides.pb_entry_rank_pct_max"": 90.0}"
sweep_rank_pct_max_75p0,single_perturbation,False,11,0.408,-0.168,-1.853,-1,-0.128,900,1.678,0.104,93.987,-55,-8.945,"{""param_overrides.pb_entry_rank_pct_max"": 75.0}"
sweep_cdd_max_3,single_perturbation,False,11,0.407,-0.169,-1.856,-1,-0.131,694,1.557,0.091,63.002,-261,-39.931,"{""param_overrides.pb_cdd_max"": 3}"
prefix_04_p1_gap_max_2,accepted_prefix,False,11,0.398,-0.171,-1.883,-1,-0.158,822,1.768,0.115,94.885,-133,-8.047,"{""param_overrides.pb_v2_gap_max_pct"": 2.0}"
sweep_carry_mfe_0p1,single_perturbation,False,12,0.426,-0.158,-1.891,0,-0.166,954,1.691,0.106,101.177,-1,-1.755,"{""param_overrides.pb_open_scored_carry_mfe_gate_r"": 0.1}"
rollback_sector2_routes_on,accepted_rollback,False,11,0.391,-0.173,-1.906,-1,-0.181,823,1.784,0.116,95.602,-132,-7.331,"{""max_per_sector"": 2, ""param_overrides.pb_v2_afternoon_retest_enabled"": true, ""param_overrides.pb_v2_vwap_bounce_enabled"": true}"
rollback_sector_cap_2,accepted_rollback,False,11,0.391,-0.173,-1.906,-1,-0.181,826,1.775,0.115,95.145,-129,-7.788,"{""max_per_sector"": 2}"
sweep_remainder_stop_0p5,single_perturbation,False,12,0.390,-0.159,-1.908,0,-0.183,955,1.345,0.053,50.442,0,-52.491,"{""param_overrides.pb_v2_partial_profit_remainder_stop_r"": 0.5}"
round1,baseline,False,7,0.266,-0.275,-1.926,-5,-0.201,604,1.613,0.104,62.763,-351,-40.169,{}
prefix_01_p4_partial_remainder_070,accepted_prefix,False,7,0.266,-0.275,-1.926,-5,-0.201,604,1.613,0.104,62.763,-351,-40.169,"{""param_overrides.pb_v2_partial_profit_remainder_stop_r"": 0.7}"
rollback_round1_core,accepted_rollback,False,7,0.266,-0.275,-1.926,-5,-0.201,604,1.613,0.104,62.763,-351,-40.169,"{""max_per_sector"": 2, ""param_overrides.pb_v2_afternoon_retest_enabled"": true, ""param_overrides.pb_v2_partial_profit_trigger_r"": 0.3, ""param_overrides.pb_v2_signal_floor"": 75.0, ""param_overrides.pb_v2_stale_bars"": 6, ""param_overrides.pb_v2_stale_mfe_thresh"": 0.05, ""param_overrides.pb_v2_vwap_bounce_enabled"": true}"
