[alpha-repair] evaluating round4 and round5 baselines
[alpha-repair] running full cohort diagnostics
[alpha-repair] round5 IS=164 +78.90R PF=2.08; OOS=7 +6.36R PF=3.11; evaluating 893 candidates
[alpha-repair] 99/893 neutral_exit_grid/neutral_nrm_2p1_c_0p252_tp1_1p55 score=-0.715 IS=173 +72.3R PF=1.92 OOS=7 +5.5R PF=2.82 strict=False repair=False
[alpha-repair] 100/893 neutral_exit_grid/neutral_nrm_2p1_c_0p252_tp1_1p7 score=-1.740 IS=172 +62.2R PF=1.74 OOS=7 +6.6R PF=3.17 strict=False repair=False
[alpha-repair] 101/893 neutral_exit_grid/neutral_nrm_2p1_c_0p252_tp1_1p8 score=-1.289 IS=171 +64.2R PF=1.77 OOS=7 +6.7R PF=3.24 strict=False repair=False
[alpha-repair] 102/893 neutral_c_offset/neutral_nrm_2p1_c_0p264 score=+0.471 IS=173 +75.2R PF=1.96 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 103/893 neutral_exit_grid/neutral_nrm_2p1_c_0p264_tp1_1p45 score=-0.515 IS=174 +70.0R PF=1.89 OOS=7 +6.1R PF=3.02 strict=False repair=False
[alpha-repair] 104/893 neutral_exit_grid/neutral_nrm_2p1_c_0p264_tp1_1p55 score=-0.464 IS=173 +72.2R PF=1.92 OOS=7 +5.8R PF=2.92 strict=False repair=False
[alpha-repair] 105/893 neutral_exit_grid/neutral_nrm_2p1_c_0p264_tp1_1p7 score=-3.199 IS=172 +62.3R PF=1.74 OOS=7 +4.9R PF=2.62 strict=False repair=False
[alpha-repair] 106/893 neutral_c_offset/neutral_nrm_2p1_c_0p276 score=-0.227 IS=173 +74.3R PF=1.95 OOS=7 +5.7R PF=2.90 strict=False repair=False
[alpha-repair] 107/893 neutral_exit_grid/neutral_nrm_2p1_c_0p264_tp1_1p8 score=-1.174 IS=171 +65.0R PF=1.78 OOS=7 +6.7R PF=3.24 strict=False repair=False
[alpha-repair] 108/893 neutral_exit_grid/neutral_nrm_2p1_c_0p276_tp1_1p45 score=-0.545 IS=174 +69.8R PF=1.89 OOS=7 +6.1R PF=3.02 strict=False repair=False
