name,kind,delta_net,oos_net_return_pct,oos_total_trades,oos_avg_r,oos_win_rate,oos_dollar_profit_factor,oos_max_dd_pct
probe_all_longs_off,perturbation,28.324260000000127,3.3494200000002605,9.0,0.23368145920084482,0.4444444444444444,1.4600510401701061,7.014614999999758
probe_gld_shorts_off,perturbation,-2.4336300000000044,-27.40846999999987,19.0,-0.920292749581835,0.05263157894736842,0.06471343178561637,28.384072298301778
probe_all_shorts_off,perturbation,-2.4336300000000044,-27.40846999999987,19.0,-0.920292749581835,0.05263157894736842,0.06471343178561637,28.384072298301778
probe_symbols_gld_only,perturbation,9.53680999999959,-15.438030000000275,22.0,-0.41678869878006336,0.22727272727272727,0.42308938434960164,22.309240000000223
probe_symbols_qqq_only,perturbation,13.700260000000096,-11.27457999999977,6.0,-1.0352680633424132,0.0,0.0,11.554113225151719
di_alignment,perturbation,18.528220000000452,-6.446619999999413,16.0,-0.1600705757967155,0.3125,0.6567676973116408,11.788049999999464
orderly_pullbacks,perturbation,0.38886999999964544,-24.58597000000022,23.0,-0.659236951725169,0.13043478260869565,0.23083370145073728,24.58597000000022
value_hits_2,perturbation,1.0891500000000818,-23.885689999999784,27.0,-0.558062499123036,0.18518518518518517,0.30115664961618277,28.077344999999738
value_hits_3,perturbation,17.376920000000055,-7.597919999999809,9.0,-0.4968355228404351,0.2222222222222222,0.353734269541072,11.75664999999966
entry_market_next_bar,perturbation,-12.901310000000144,-37.87615000000001,38.0,-0.7317201969304236,0.13157894736842105,0.2011351024604087,40.672860000000014
entry_structure_stop_market,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
entry_adaptive_structure_stop,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
entry_vwap_retest_limit,perturbation,3.526835318621991,-21.448004681377874,27.0,-0.535022035939945,0.18518518518518517,0.33546701129198503,26.58199041938898
entry_midpoint_retest_limit,perturbation,-4.48049000000011,-29.455329999999975,31.0,-0.6519805113307473,0.16129032258064516,0.256295537343494,32.63076999999998
stop_pullback,perturbation,18.290679999999863,-6.684160000000003,8.0,-0.4978144848837068,0.125,0.027191132573327396,8.160075416749109
stop_hybrid_wider,perturbation,18.290679999999863,-6.684160000000003,8.0,-0.4978144848837068,0.125,0.027191132573327396,8.160075416749109
stop_hybrid_tighter,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
profit_floor_125_025_175_075,perturbation,2.0723800000005284,-22.902459999999337,28.0,-0.5351737463857769,0.2857142857142857,0.25251165010075777,26.55976999999925
mfe_giveback_150_50_any,perturbation,-1.1314099999994198,-26.106249999999285,28.0,-0.5992271377401266,0.21428571428571427,0.22738206783559745,29.433739999999393
gld_no_8am_window,perturbation,5.365519999999901,-19.609319999999965,25.0,-0.5021825323717262,0.24,0.37265232344237487,24.34388999999978
all_no_11am_hour,perturbation,5.161069999999949,-19.813769999999916,24.0,-0.4619596197461648,0.20833333333333334,0.3607508602895012,24.449245266507816
all_midday_only,perturbation,2.9635299999997073,-22.011310000000158,23.0,-0.5309572573741841,0.21739130434782608,0.3137970949251128,25.518340000000254
min_adx_12,perturbation,0.5624299999996296,-24.412410000000236,27.0,-0.5274159108456192,0.18518518518518517,0.3029588346599422,27.813200000000155
min_adx_15,perturbation,0.5624299999996296,-24.412410000000236,27.0,-0.5274159108456192,0.18518518518518517,0.3029588346599422,27.813200000000155
min_adx_18,perturbation,4.601490000000123,-20.373349999999743,24.0,-0.46210703935508485,0.20833333333333334,0.35047298960290063,23.95745999999983
min_adx_20,perturbation,4.25044999999994,-20.724389999999925,20.0,-0.5977157984807969,0.15,0.2668744123325784,21.727819999999713
min_adx_22,perturbation,3.5179699999998704,-21.456869999999995,18.0,-0.7335196446631438,0.1111111111111111,0.20423360522894052,21.456869999999995
