option,name,split,cohort,stack,entry_model,daily_filter,note,signals,avg_r,total_r,profit_factor_r,hit1_rate,hit2_rate,stop_rate,avg_mfe_r,avg_mae_r,avg_stop_atr,avg_entry_delay_bars,avg_depth,orderly_rate
option3,touch_ema20_market,train,GLD,current,value_touch_market,,,32,-0.04417685314980685,-1.4136593007938192,0.9053887032485659,0.40625,0.0625,0.4375,0.8848407934126387,0.9963970496715893,0.4892417910579109,1.0,0.6038384554334479,0.90625
option3,touch_ema20_market,oos,ALL,current,value_touch_market,,,7,0.42857142857142855,3.0,2.5,0.7142857142857143,0.0,0.2857142857142857,1.207747221547957,0.8556395758173547,0.2673804910301664,1.0,0.6827537229096708,1.0
option3,touch_ema20_market,oos,QQQ,current,value_touch_market,,,2,0.0,0.0,1.0,0.5,0.0,0.5,0.9281117791411015,0.9728278293907148,0.2446040397268613,1.0,0.622011147296412,1.0
option3,touch_ema20_market,oos,GLD,current,value_touch_market,,,5,0.6,3.0,4.0,0.8,0.0,0.2,1.3196013985106996,0.8087642743880107,0.2764910715514885,1.0,0.7070507531549743,1.0
option3,touch_vwap_market,train,ALL,current,value_touch_market,,,73,0.0547945205479452,4.0,1.1176470588235294,0.5205479452054794,0.0821917808219178,0.4657534246575342,1.0249179078734136,0.968103659003957,0.2804928711648038,1.0,0.650590799978831,0.7397260273972602
option3,touch_vwap_market,train,QQQ,current,value_touch_market,,,42,0.09523809523809523,4.0,1.2105263157894737,0.5476190476190477,0.047619047619047616,0.4523809523809524,1.005574640478154,1.0401655915780619,0.29738510396159945,1.0,0.6317141059988569,0.9047619047619048
option3,touch_vwap_market,train,GLD,current,value_touch_market,,,31,0.0,0.0,1.0,0.4838709677419355,0.12903225806451613,0.4838709677419355,1.0511249153121525,0.8704713632583956,0.25760662027882275,1.0,0.6761656756936344,0.5161290322580645
option3,touch_vwap_market,oos,ALL,current,value_touch_market,,,12,-0.3333333333333333,-4.0,0.5,0.3333333333333333,0.08333333333333333,0.6666666666666666,0.8381218908906792,0.9978647896060194,0.23013678264048773,1.0,0.6940817886781865,0.8333333333333334
option3,touch_vwap_market,oos,QQQ,current,value_touch_market,,,6,-1.0,-6.0,0.0,0.0,0.0,1.0,0.4357720147565227,1.3273280312342821,0.23788585026619982,1.0,0.690048139133067,0.8333333333333334
option3,touch_vwap_market,oos,GLD,current,value_touch_market,,,6,0.3333333333333333,2.0,2.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,1.240471767024836,0.6684015479777569,0.22238771501477564,1.0,0.698115438223306,0.8333333333333334
option3,touch_ema20_limit4,train,ALL,current,value_touch_limit,,,37,0.0944718487155981,3.49545840247713,1.2184661501548206,0.4864864864864865,0.02702702702702703,0.43243243243243246,1.3139886915791457,1.0878756517333545,0.30236726320487833,1.3243243243243243,0.6029060763854277,0.8918918918918919
option3,touch_ema20_limit4,train,QQQ,current,value_touch_limit,,,13,0.23076923076923078,3.0,1.6,0.6153846153846154,0.0,0.38461538461538464,1.143514118985939,0.9490556614665239,0.38623073441381567,1.2307692307692308,0.6255347631776424,1.0
option3,touch_ema20_limit4,train,GLD,current,value_touch_limit,,,24,0.020644100103213752,0.49545840247713,1.0450416729524663,0.4166666666666667,0.041666666666666664,0.4583333333333333,1.4063290850671324,1.163069813127888,0.25694121630003725,1.375,0.5906488710396446,0.8333333333333334
option3,touch_ema20_limit4,oos,ALL,current,value_touch_limit,,,4,0.5,2.0,3.0,0.75,0.0,0.25,1.2511922669884905,0.768653894238108,0.3608275568269297,1.5,0.6800839353602832,1.0
option3,touch_ema20_limit4,oos,QQQ,current,value_touch_limit,,,1,1.0,1.0,1.0,1.0,0.0,0.0,1.6432786594420477,0.6114404113161483,0.15569950425329634,1.0,0.6038406827880543,1.0
option3,touch_ema20_limit4,oos,GLD,current,value_touch_limit,,,3,0.3333333333333333,1.0,2.0,0.6666666666666666,0.0,0.3333333333333333,1.120496802837305,0.821058388545428,0.42920357435147416,1.6666666666666667,0.7054983528843598,1.0
option3,touch_vwap_limit4,train,ALL,current,value_touch_limit,,,55,0.23636363636363636,13.0,1.619047619047619,0.6181818181818182,0.09090909090909091,0.38181818181818183,1.2341051313422973,0.9843291430548987,0.25532209849902326,1.4181818181818182,0.6506728609234499,0.7636363636363637
option3,touch_vwap_limit4,train,QQQ,current,value_touch_limit,,,32,0.25,8.0,1.6666666666666667,0.625,0.09375,0.375,1.3418177395310396,1.0119135522903695,0.2746087829274239,1.5625,0.6361078554481745,0.875
option3,touch_vwap_limit4,train,GLD,current,value_touch_limit,,,23,0.21739130434782608,5.0,1.5555555555555556,0.6086956521739131,0.08695652173913043,0.391304347826087,1.0842441112536123,0.9459508345533737,0.22848845059863976,1.2173913043478262,0.6709372163673116,0.6086956521739131
option3,touch_vwap_limit4,oos,ALL,current,value_touch_limit,,,9,0.1111111111111111,1.0,1.25,0.5555555555555556,0.3333333333333333,0.4444444444444444,1.4823268290389249,1.1650516184623134,0.15790588837622077,1.3333333333333333,0.7117811635209615,0.7777777777777778
option3,touch_vwap_limit4,oos,QQQ,current,value_touch_limit,,,3,-1.0,-3.0,0.0,0.0,0.0,1.0,0.6799868181351001,2.011029731295063,0.1236249241886914,1.3333333333333333,0.7391126141162726,0.6666666666666666
option3,touch_vwap_limit4,oos,GLD,current,value_touch_limit,,,6,0.6666666666666666,4.0,5.0,0.8333333333333334,0.5,0.16666666666666666,1.8834968344908372,0.7420625620459389,0.17504637046998542,1.3333333333333333,0.698115438223306,0.8333333333333334
option3,touch_ema20_limit4_daily,train,ALL,current,value_touch_limit,sma20_50,,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0742486619419104,1.5838017210612716,0.7695078195091098,3.0,0.4054054054054031,1.0
option3,touch_ema20_limit4_daily,train,QQQ,current,value_touch_limit,sma20_50,,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0742486619419104,1.5838017210612716,0.7695078195091098,3.0,0.4054054054054031,1.0
option3,touch_ema20_limit4_daily,train,GLD,current,value_touch_limit,sma20_50,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option3,touch_ema20_limit4_daily,oos,ALL,current,value_touch_limit,sma20_50,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option3,touch_ema20_limit4_daily,oos,QQQ,current,value_touch_limit,sma20_50,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option3,touch_ema20_limit4_daily,oos,GLD,current,value_touch_limit,sma20_50,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option4,confirm_vwap_retest4,train,ALL,current,confirm_retest,,,50,0.36,18.0,2.125,0.68,0.08,0.32,1.5246475582742354,0.8879342546535232,0.19057368940883582,1.64,0.6385180613221153,0.8
option4,confirm_vwap_retest4,train,QQQ,current,confirm_retest,,,32,0.375,12.0,2.2,0.6875,0.09375,0.3125,1.62568988911041,0.925661995644077,0.20174803007274833,1.875,0.6209933940552129,0.9375
option4,confirm_vwap_retest4,train,GLD,current,confirm_retest,,,18,0.3333333333333333,6.0,2.0,0.6666666666666666,0.05555555555555555,0.3333333333333333,1.3450167478988149,0.8208627151147604,0.17070819489521372,1.2222222222222223,0.6696730253521639,0.5555555555555556
option4,confirm_vwap_retest4,oos,ALL,current,confirm_retest,,,9,-0.1111111111111111,-1.0,0.8,0.4444444444444444,0.3333333333333333,0.5555555555555556,1.7045529115447646,1.394050005584737,0.12770171208245137,1.4444444444444444,0.7118106897392846,0.8888888888888888
option4,confirm_vwap_retest4,oos,QQQ,current,confirm_retest,,,4,-0.5,-2.0,0.3333333333333333,0.25,0.25,0.75,1.7357163137603007,2.0972878130033976,0.0890109523430784,1.5,0.6914125102067319,0.75
option4,confirm_vwap_retest4,oos,GLD,current,confirm_retest,,,5,0.2,1.0,1.5,0.6,0.4,0.4,1.679622189772336,0.8314597596498079,0.15865431987394973,1.4,0.7281292333653266,1.0
option4,confirm_ema20_retest4,train,ALL,current,confirm_retest,,,35,-0.726957690068779,-25.443519152407266,0.15188269491975778,0.11428571428571428,0.02857142857142857,0.8571428571428571,2.867854474453468,1.1946884993637603,0.19481704220103535,2.4,0.583658922267715,0.9714285714285714
option4,confirm_ema20_retest4,train,QQQ,current,confirm_retest,,,11,-1.0,-11.0,0.0,0.0,0.0,1.0,2.711004109453857,1.3680527187609046,0.229941149408452,2.0,0.6549963547814389,1.0
option4,confirm_ema20_retest4,train,GLD,current,confirm_retest,,,24,-0.6018132980169694,-14.443519152407266,0.23981478145224913,0.16666666666666666,0.041666666666666664,0.7916666666666666,2.9397442250782895,1.1152298988067357,0.17871849306430265,2.5833333333333335,0.5509625990322582,0.9583333333333334
option4,confirm_ema20_retest4,oos,ALL,current,confirm_retest,,,2,-1.0,-2.0,0.0,0.0,0.0,1.0,0.7930533357938425,1.8501540705950932,0.21922392483665565,2.0,0.7592048238869195,1.0
option4,confirm_ema20_retest4,oos,QQQ,current,confirm_retest,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option4,confirm_ema20_retest4,oos,GLD,current,confirm_retest,,,2,-1.0,-2.0,0.0,0.0,0.0,1.0,0.7930533357938425,1.8501540705950932,0.21922392483665565,2.0,0.7592048238869195,1.0
option4,confirm_midpoint_retest4,train,ALL,current,confirm_retest,,,196,0.0898728691297173,17.61508234942459,1.1979222735890405,0.5408163265306123,0.08673469387755102,0.45408163265306123,1.3110158262218692,0.9849706441762128,0.2386767663651186,1.316326530612245,0.6156167932145361,0.8163265306122449
option4,confirm_midpoint_retest4,train,QQQ,current,confirm_retest,,,84,0.16666666666666666,14.0,1.4,0.5833333333333334,0.05952380952380952,0.4166666666666667,1.2860003329051044,0.9357527963170258,0.23515980773911818,1.3333333333333333,0.6264502440783957,0.9523809523809523
option4,confirm_midpoint_retest4,train,GLD,current,confirm_retest,,,112,0.03227752097700528,3.6150823494245916,1.0669459694337886,0.5089285714285714,0.10714285714285714,0.48214285714285715,1.3297774462094427,1.0218840300706034,0.24131448533461888,1.3035714285714286,0.6074917050666416,0.7142857142857143
option4,confirm_midpoint_retest4,oos,ALL,current,confirm_retest,,,20,-0.1,-2.0,0.8181818181818182,0.45,0.1,0.55,1.249671738649699,1.0469535583401783,0.23206643842178357,1.3,0.6255355215548437,0.8
option4,confirm_midpoint_retest4,oos,QQQ,current,confirm_retest,,,11,-0.6363636363636364,-7.0,0.2222222222222222,0.18181818181818182,0.0,0.8181818181818182,0.9030025989759405,1.3677426227787743,0.23904356348989023,1.3636363636363635,0.6169703427061897,1.0
option4,confirm_midpoint_retest4,oos,GLD,current,confirm_retest,,,9,0.5555555555555556,5.0,3.5,0.7777777777777778,0.2222222222222222,0.2222222222222222,1.6733784649176262,0.6548780351374506,0.22353884111631991,1.2222222222222223,0.6360040734809763,0.5555555555555556
option4,confirm_vwap_retest8,train,ALL,current,confirm_retest,,,57,0.2982456140350877,17.0,1.85,0.6491228070175439,0.08771929824561403,0.3508771929824561,1.6065245788198337,0.8974423934987165,0.18021069069724793,2.3859649122807016,0.6433053575139166,0.7719298245614035
option4,confirm_vwap_retest8,train,QQQ,current,confirm_retest,,,38,0.3157894736842105,12.0,1.9230769230769231,0.6578947368421053,0.10526315789473684,0.34210526315789475,1.7185462822837854,0.900780330795101,0.18772563062657324,2.789473684210526,0.6277693283456692,0.8947368421052632
option4,confirm_vwap_retest8,train,GLD,current,confirm_retest,,,19,0.2631578947368421,5.0,1.7142857142857142,0.631578947368421,0.05263157894736842,0.3684210526315789,1.38248117189193,0.8907665189059469,0.16518081083859748,1.5789473684210527,0.6743774158504117,0.5263157894736842
option4,confirm_vwap_retest8,oos,ALL,current,confirm_retest,,,10,-0.2,-2.0,0.6666666666666666,0.4,0.3,0.6,1.9196855565956503,1.483955951063044,0.11942226494953216,2.4,0.6915653805817013,0.9
option4,confirm_vwap_retest8,oos,QQQ,current,confirm_retest,,,5,-0.6,-3.0,0.25,0.2,0.2,0.8,2.159748923418965,2.13645214247628,0.08019021002511459,3.4,0.6550015277980756,0.8
option4,confirm_vwap_retest8,oos,GLD,current,confirm_retest,,,5,0.2,1.0,1.5,0.6,0.4,0.4,1.679622189772336,0.8314597596498079,0.15865431987394973,1.4,0.7281292333653266,1.0
option4,confirm_ema20_retest4_daily,train,ALL,current,confirm_retest,sma20_50,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option4,confirm_ema20_retest4_daily,train,QQQ,current,confirm_retest,sma20_50,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option4,confirm_ema20_retest4_daily,train,GLD,current,confirm_retest,sma20_50,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option4,confirm_ema20_retest4_daily,oos,ALL,current,confirm_retest,sma20_50,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option4,confirm_ema20_retest4_daily,oos,QQQ,current,confirm_retest,sma20_50,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option4,confirm_ema20_retest4_daily,oos,GLD,current,confirm_retest,sma20_50,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
