name,category,is_expected_total_r,is_net_profit,is_trades_per_month,is_profit_factor,is_max_drawdown_pct,oos_expected_total_r,oos_net_profit,oos_trades_per_month,oos_profit_factor,oos_max_drawdown_pct,is_guardrail,oos_floor,strict_joint_uplift,preliminary_score
quality__size_floor_0p9,signal_quality_sizing,246.5766425444054,31830.31,56.07590553977272,1.9062071883195781,0.12160325979621482,50.67977821206192,2662.760000000008,54.280208333333334,3.386948142172039,0.019777217228191386,True,True,False,0.994196641693636
geometry__entry_range_cap_1p35,signal_geometry,247.24145577881444,30406.52,55.211203835227266,1.8939917817434277,0.12490521165026426,52.93746471513272,2612.2100000000064,54.280208333333334,3.3941068646320347,0.019712549971824492,True,True,False,0.993959150500315
exit__flow_hold_24,exit_logic,255.2864802733866,30942.210000000006,55.85973011363636,1.8832699664272916,0.11987609656373613,50.52097479706599,2611.150000000008,55.29479166666667,3.347164417916903,0.01971434232772144,True,True,False,0.9938245947750094
capacity__leverage_2p5,capacity,269.0826656319067,33016.68,57.50266335227272,1.8591055348925074,0.12329588374240188,48.34716884785723,2682.640000000008,55.29479166666667,3.152276118804271,0.023545922079822958,True,True,False,0.9936556387959184
quality__size_floor_0p85,signal_quality_sizing,252.09058570732918,30992.97,55.98943536931818,1.8979141358817473,0.12078140739903742,49.917202610064706,2656.020000000007,55.29479166666667,3.3894311649288995,0.02000624553508377,True,True,False,0.993375392752065
quality__size_floor_0p7__risk_0p00737,quality_risk_restore,244.56731356521388,30538.859999999993,55.90296519886363,1.9048545749009922,0.11824942828511159,50.5598394515088,2640.750000000007,55.29479166666667,3.4280302682027726,0.019259794372992176,True,True,False,0.9926410693931478
quality__size_floor_0p75__top105,signal_quality_sizing,257.90276293730585,28793.719999999994,56.24884588068181,1.8840258228682885,0.11252659449110086,51.9768248795598,2477.420000000008,56.309375,3.3457528902692077,0.01884659694220997,True,True,False,0.9909316910287093
exit__flow_hold_6,exit_logic,241.20075894328747,29998.029999999988,56.85413707386363,1.8506324584098475,0.10567514986135024,50.847841957551395,2627.5200000000077,56.309375,3.372864212693728,0.018994767990393444,True,True,False,0.9897750781315415
combo__entry_expansion__signal_quality_sizing,orthogonal_combination,259.4507581141184,31062.359999999993,59.621182528409086,1.8292419873172447,0.10157556001337374,45.961101105409796,2756.2600000000066,55.29479166666667,3.4485506409516256,0.019668568277444346,True,True,False,0.9897208691970519
reclaim__or_pdh_avwap__default,entry_expansion,262.1370221631618,32400.59999999999,59.31853693181818,1.836361862295569,0.10156112167284755,45.70640517319321,2753.560000000007,54.280208333333334,3.366272224943514,0.020208005053278123,True,True,False,0.9886854679503805
